,QuestionText_nchars,VerfiedBuyersWithLanguage,NonEmployeeAnswersWithinWeek
519,38,141,1
520,182,5,0
521,34,10,2
522,33,379,1
523,123,65,1
524,34,5,0
525,192,128,0
526,153,3,1
527,114,9,0
528,156,8,1
529,164,13,1
530,124,2,0
531,102,8,1
532,197,0,0
533,52,30,0
534,40,325,0
536,40,1036,1
537,56,90,0
538,38,3,1
539,48,2,0
542,41,29,1
543,47,57,1
544,48,35,2
545,39,19,1
546,117,28,2
547,72,85,2
548,48,0,0
549,53,0,0
551,27,0,1
552,33,7,0
554,190,308,1
555,64,29,1
556,156,2426,1
557,33,40,0
558,36,5,0
559,63,8,0
560,51,62,1
561,59,82,2
562,188,55,0
563,76,31,0
564,67,38,1
565,69,246,0
566,118,141,1
567,185,191,0
568,191,28,1
569,160,1,0
570,198,665,4
571,45,293,1
572,200,2,1
574,84,362,0
575,194,607,1
576,52,1,0
577,105,0,1
578,62,2,0
579,60,1,0
580,29,7,0
581,87,71,1
582,42,10,1
583,190,13,2
584,109,20,2
586,68,363,1
587,72,1640,1
588,93,153,0
589,46,6,1
590,69,47,0
591,63,220,1
592,84,62,2
594,32,32,1
595,39,2,0
596,61,1217,1
597,70,3626,1
598,144,547,2
599,64,186,1
601,86,60,2
602,55,11,0
603,63,9,1
604,25,49,0
605,66,1,1
606,73,39,0
608,182,648,1
609,49,0,0
610,79,45,1
611,94,4230,1
612,69,285,0
613,193,124,0
614,90,419,0
615,36,0,0
616,147,552,1
617,138,277,1
618,34,30,1
619,42,69,2
620,54,1,0
622,64,16,0
623,35,4,0
624,58,16,0
626,197,28,1
627,124,9,0
628,199,15,0
631,86,174,3
632,129,11,0
634,36,11,0
635,73,3,0
636,75,307,1
637,149,1787,1
638,69,82,1
639,30,0,0
640,85,593,1
641,76,679,2
643,75,50,0
644,63,2,0
645,165,1,0
646,25,2,1
647,38,17,0
648,64,2,1
649,34,6,1
650,13,165,1
651,178,35,1
652,171,3698,1
653,50,385,1
654,70,12,1
655,48,18,0
656,52,27,1
659,180,3,1
660,107,160,0
661,52,14,1
662,106,3,0
663,23,4,0
664,84,100,1
665,61,1,0
666,39,0,0
667,136,33,1
668,43,45,0
669,199,85,2
671,21,8,2
672,55,4,0
673,118,0,0
674,39,22,0
675,102,82,1
676,169,16,1
677,41,4,0
678,131,11,1
679,41,152,1
680,60,608,1
681,113,176,2
682,87,1,0
683,41,6,0
684,195,3089,1
685,65,1814,1
686,30,143,1
687,113,308,1
688,176,27,1
689,195,716,1
690,37,144,1
691,107,609,3
692,63,1,1
693,195,4622,1
694,51,10,1
695,25,2,0
696,58,60,1
697,89,562,1
698,173,254,1
699,99,0,0
700,50,49,1
702,146,1151,1
703,92,893,0
705,189,10,1
706,122,30,1
707,91,4,0
708,35,6,0
709,109,96,1
710,68,261,1
711,82,7,1
712,94,0,1
713,153,2,1
714,154,22,1
715,49,133,1
717,108,108,2
718,122,20,1
719,54,11,0
720,80,82,1
721,57,208,1
722,64,11,1
723,186,314,1
724,28,12,0
725,33,5,1
726,95,90,1
728,124,7,0
729,40,6,1
730,129,1561,0
731,126,788,1
732,96,15,0
733,46,32,0
734,93,1,0
736,119,21,1
737,78,14,1
738,192,51,2
739,65,2,0
741,56,43,2
742,68,6,1
743,57,32,1
744,85,2,0
745,75,272,1
746,102,2,1
747,119,80,1
749,133,704,1
750,44,116,2
751,72,4,1
752,65,483,1
753,85,186,1
754,105,6198,1
755,116,1050,1
756,52,0,0
757,57,22,1
758,48,80,1
759,131,128,1
761,44,77,1
762,41,9,1
763,186,19,1
764,160,18,1
765,124,982,1
766,48,158,1
767,113,7,0
768,61,10,1
769,92,100,0
770,151,761,1
771,50,7,1
772,76,210,2
773,89,155,1
775,18,0,0
776,153,1,0
779,91,1291,1
780,110,74,1
781,128,77,1
783,68,487,2
784,70,9,2
785,84,34,0
786,33,2,0
788,31,4,0
791,63,417,1
792,144,2,0
793,121,45,1
794,98,30,0
795,144,22,1
796,30,823,1
797,198,192,1
798,44,0,0
799,48,128,1
800,35,36,0
801,139,565,1
802,89,206,0
803,40,38,2
805,53,0,0
806,21,77,1
807,193,48,1
809,59,298,1
810,96,499,1
811,47,379,1
813,125,30,1
814,172,215,2
815,38,4,0
816,21,7,0
817,45,1114,1
818,31,10,1
819,71,109,2
820,173,0,0
821,35,216,0
822,160,191,2
824,76,32,1
825,63,739,1
826,25,0,0
827,66,62,2
828,31,10,1
829,49,297,1
830,39,10,0
831,193,5082,1
832,200,39,1
833,34,407,1
834,114,220,1
835,65,341,1
836,82,2,0
837,32,7,0
838,170,5,1
839,66,0,0
840,78,48,2
841,142,216,1
842,143,201,1
843,143,35,1
844,24,1,0
845,76,1,2
846,111,1601,2
847,142,0,0
848,200,94,2
849,187,78,2
850,19,24,0
851,72,2,0
852,141,256,1
853,66,516,0
855,62,6,0
856,39,133,1
857,37,690,1
858,75,132,1
859,60,103,1
860,190,25,1
861,168,243,3
862,115,246,1
863,39,234,1
866,196,26,1
867,55,3,1
868,38,55,1
869,197,2065,1
870,42,78,1
871,80,27,2
872,70,2,0
874,198,741,1
875,41,62,1
876,198,336,2
877,181,4,1
878,36,24,1
879,180,244,2
880,176,23,0
881,81,3,1
882,61,19,0
883,197,203,1
884,176,1327,1
885,61,84,1
886,141,14,1
887,92,158,2
888,74,50,1
890,38,10,0
891,71,1,1
892,31,2,0
893,82,556,1
894,30,61,2
895,52,1,0
896,126,2,1
897,65,2,0
898,200,1306,0
899,143,1090,1
900,154,0,0
901,199,30,2
903,71,32,1
904,80,10,0
905,70,53,0
906,86,0,1
907,55,141,0
909,53,21,0
910,71,36,1
911,179,40,1
912,188,44,2
913,101,153,1
914,182,25,1
915,53,146,2
916,98,0,1
917,69,9,1
918,66,508,3
920,27,5,1
921,65,1,0
922,82,6,0
925,79,1133,1
926,116,7,0
927,107,12,0
928,110,601,1
929,44,208,1
930,123,39,2
931,94,18,1
932,200,3525,1
933,46,181,1
934,74,138,1
935,175,30,1
936,154,22,1
937,50,47,1
938,148,75,1
939,84,481,2
940,68,81,1
942,46,42,1
943,158,151,1
944,55,4,0
945,176,77,1
946,135,245,2
947,116,179,0
948,172,213,2
949,51,0,0
950,82,24,0
951,188,33,1
952,67,131,1
953,137,62,1
954,46,103,0
955,66,10,2
956,131,6,0
957,130,17,2
958,56,10,0
959,108,3,0
960,59,108,1
961,114,20,0
962,149,40,0
963,96,1270,2
964,28,4,0
966,54,9,0
967,55,104,1
968,188,135,2
969,154,28,1
970,142,41,2
971,90,115,0
972,66,340,0
973,103,4,0
974,14,1,0
975,142,67,1
976,45,23,0
977,57,841,1
978,40,20,0
979,180,33,0
980,49,343,1
981,199,32,1
982,57,1431,1
983,41,36,1
984,200,250,1
985,47,3,1
986,125,9,0
987,54,136,1
988,39,122,1
989,143,0,0
990,133,108,1
991,188,2,0
992,78,16,0
993,105,12,1
995,49,30,1
996,174,47,1
997,27,0,1
998,160,15,1
999,84,42,2
1000,123,213,1
1001,65,23,1
1002,197,208,1
1003,48,0,1
1004,26,7,1
1005,38,8,0
1006,72,33,1
1007,43,87,1
1008,70,1283,1
1009,82,1,0
1010,86,1614,1
1011,112,1614,1
1012,176,14,1
1013,149,59,0
1014,169,32,1
1015,46,47,1
1016,81,58,1
1017,85,44,0
1018,153,520,1
1019,43,4,0
1021,102,34,1
1022,84,53,0
1023,43,4,1
1024,50,673,1
1025,55,83,2
1026,191,65,1
1027,42,2,0
1028,71,30,1
1029,55,4023,1
1030,57,66,1
1031,198,402,1
1032,117,654,1
1033,48,23,1
1035,128,1172,2
1037,59,6,0
1038,176,108,2
1039,27,168,1
1040,56,9,0
1041,86,2,0
1042,46,5,0
1043,175,5,1
1044,185,166,1
1045,198,12,1
1047,79,47,1
1048,89,398,1
1049,30,90,1
1050,185,48,1
1052,81,3,1
1053,46,89,1
1054,182,173,1
1055,51,19,1
1056,52,4,1
1057,59,152,0
1058,29,22,2
1059,55,50,0
1061,52,7,1
1062,87,9,1
1063,39,3,0
1064,170,6,1
1065,188,4,2
1066,125,3,1
1067,135,15,1
1068,31,8,1
1070,69,1,0
1071,91,154,1
1072,74,2,0
1073,28,0,0
1074,94,11,1
1075,188,248,4
1076,97,367,2
1077,190,98,1
1078,106,138,1
1079,85,190,1
1080,61,107,0
1081,143,0,0
1082,75,2,0
1084,48,2,1
1087,118,140,0
1088,72,15,1
1089,174,29,1
1090,49,803,2
1091,156,68,1
1092,100,321,1
1093,184,814,1
1094,32,236,1
1095,173,0,1
1096,91,191,2
1097,131,0,1
1098,75,24,1
1099,54,2,0
1100,28,7,1
1101,74,908,0
1102,183,7896,1
1103,108,207,1
1105,151,1460,1
1106,180,113,1
1107,30,1,0
1108,79,3,0
1109,61,25,0
1110,135,6,0
1111,30,3,0
1112,150,404,1
1113,88,19,0
1114,152,851,1
1115,174,25,2
1116,155,19,1
1117,120,161,1
1118,109,330,3
1120,183,264,1
1121,86,14,0
1122,106,1,0
1123,181,60,1
1124,199,7,0
1125,75,37,0
1126,21,0,0
1127,200,354,0
1128,130,86,1
1129,96,68,1
1130,61,3,0
1131,216,176,1
1132,40,1,0
1133,59,21,2
1136,112,758,1
1137,81,0,1
1138,73,0,0
1139,46,35,1
1140,117,157,1
1141,197,3,1
1142,57,340,1
1143,99,8,0
1144,147,46,1
1145,17,0,1
1146,160,14,0
1147,55,3,1
1148,137,634,0
1149,49,34,2
1151,119,46,1
1152,75,138,0
1153,50,18,1
1154,92,26,0
1156,50,8,1
1157,199,301,1
1158,104,8,0
1159,116,124,1
1160,79,66,2
1161,130,1,0
1162,76,41,0
1163,143,67,1
1164,197,11,1
1165,134,171,2
1166,129,15,1
1167,134,5,0
1168,81,0,1
1169,59,43,3
1170,75,63,0
1171,100,58,1
1172,196,84,2
1173,42,33,0
1174,62,0,0
1175,38,1,1
1176,194,0,1
1177,72,99,1
1178,198,279,2
1179,162,119,1
1180,32,0,0
1181,53,112,1
1182,37,0,0
1183,44,0,0
1184,130,2,0
1185,145,1145,2
1186,72,18,0
1187,198,77,1
1188,46,22,2
1190,150,115,1
1191,22,4,0
1192,88,40,1
1193,63,0,1
1194,121,283,1
1195,75,33,3
1196,79,0,0
1197,152,51,2
1199,67,9,1
1200,44,899,1
1201,108,77,1
1202,160,12,1
1203,92,101,2
1204,97,42,1
1205,109,8,1
1206,29,8,1
1207,63,0,0
1208,67,133,0
1209,199,46,0
1211,81,23,1
1212,118,8,0
1213,148,149,0
1214,50,260,1
1216,102,421,2
1217,142,0,0
1218,117,1114,1
1219,71,15,0
1220,72,356,2
1222,105,14,0
1223,39,0,0
1224,180,71,1
1225,50,85,1
1226,54,12,1
1227,200,267,4
1228,125,40,2
1229,198,6,1
1230,135,12,0
1231,101,79,0
1232,137,666,2
1233,192,433,1
1234,46,11,0
1235,26,2,1
1236,28,40,1
1237,51,774,1
1238,163,1,2
1239,63,0,0
1241,33,0,0
1243,109,1,0
1244,55,254,1
1245,30,263,1
1246,66,69,0
1248,122,58,1
1249,85,19,0
1250,98,30,1
1251,65,502,1
1252,181,7,0
1253,24,78,1
1254,175,88,2
1255,67,7,1
1256,127,125,1
1257,160,126,2
1258,147,192,1
1259,59,3,0
1260,199,1874,1
1262,56,1391,1
1263,84,142,1
1264,58,11,1
1265,200,411,1
1268,74,1,0
1269,69,17,1
1270,135,136,2
1271,128,2515,1
1272,46,724,1
1273,26,4,0
1274,55,7,1
1275,179,92,1
1276,120,3,0
1277,204,22,1
1278,199,1874,2
1279,84,3,0
1280,75,22,1
1281,78,698,1
1282,21,22,1
1283,185,261,1
1284,59,10,0
1285,52,4,0
1286,156,5,0
1287,100,19,0
1288,83,15,2
1289,38,2,1
1290,74,4,0
1291,67,12,0
1292,94,128,1
1293,148,175,1
1295,189,445,1
1296,189,22,1
1297,72,613,1
1298,14,34,1
1299,42,217,1
1300,131,326,1
1301,55,4,1
1302,78,39,1
1303,115,755,2
1304,29,158,0
1305,53,77,1
1306,50,461,1
1307,110,9,2
1308,59,134,1
1309,59,23,1
1310,121,21,0
1311,93,1,0
1312,183,20,1
1313,103,10,1
1314,195,12,1
1315,47,3,0
1316,107,192,1
1317,163,131,1
1318,164,322,1
1319,190,7,1
1320,100,77,1
1321,58,89,1
1322,85,0,2
1323,118,3,1
1324,49,1,0
1325,137,0,0
1326,311,12,1
1327,37,74,1
1329,95,18,0
1330,197,285,1
1331,199,49,1
1332,88,0,0
1333,92,13,1
1334,172,2695,1
1335,80,0,0
1336,47,358,1
1337,135,287,1
1338,80,0,0
1339,46,39,2
1340,49,1489,1
1341,95,63,1
1342,58,0,0
1343,153,5,1
1344,132,5,0
1345,89,136,0
1347,57,377,2
1348,57,26,1
1349,31,138,2
1350,84,4,1
1352,165,10,0
1353,104,5,0
1354,143,52,1
1356,81,13,1
1357,107,75,1
1358,67,12,1
1359,122,0,0
1360,43,28,1
1361,115,80,1
1362,45,9,1
1363,31,1,0
1364,116,10,0
1365,198,200,1
1366,156,7,1
1367,57,2,1
1368,42,8,1
1369,43,0,1
1370,96,33,2
1371,43,324,1
1372,46,6122,1
1373,152,111,1
1374,55,119,0
1375,37,30,0
1376,96,256,0
1377,195,2,0
1378,27,0,1
1379,124,116,1
1380,73,0,0
1381,65,51,1
1382,97,5,0
1383,147,14,1
1384,169,748,1
1385,71,2,0
1386,78,15,1
1387,76,25,1
1388,129,126,1
1389,37,26,0
1390,173,1048,0
1391,40,0,1
1392,52,1650,1
1393,67,81,1
1394,194,1,0
1395,182,3,0
1397,127,313,1
1398,63,23,0
1399,86,0,1
1400,49,5,0
1402,72,37,2
1403,75,54,1
1404,30,4,1
1405,112,783,1
1406,37,41,0
1407,34,8,0
1408,41,4,0
1409,60,98,0
1411,51,735,1
1412,55,327,0
1413,52,29,0
1414,120,26,0
1415,107,11,1
1416,73,625,1
1417,172,17,1
1418,157,22,1
1419,88,32,0
1420,144,936,1
1421,194,86,1
1422,36,2081,2
1423,59,2,0
1424,33,1,0
1425,114,2039,1
1426,101,8,0
1427,42,6,0
1428,168,49,1
1429,85,84,3
1430,28,2,0
1431,86,4,2
1432,190,622,1
1433,114,10,1
1434,85,0,0
1435,115,1595,1
1436,144,16,0
1437,48,1,0
1438,122,0,0
1439,119,21,1
1441,111,13,0
1442,68,60,1
1443,48,5,1
1444,111,3,0
1445,57,207,1
1446,45,82,1
1447,59,23,1
1448,31,3,1
1449,52,178,1
1450,86,1069,2
1451,127,94,3
1452,37,505,1
1453,57,1,0
1454,41,1,0
1455,173,327,0
1456,175,633,0
1458,33,0,0
1459,59,1386,1
1461,165,11,1
1462,38,10,2
1463,36,15,0
1464,43,1145,1
1465,75,545,2
1466,41,2,1
1467,47,35,1
1468,54,0,0
1469,174,162,1
1471,51,33,1
1472,15,517,2
1473,159,517,3
1474,59,4,0
1475,65,250,2
1476,47,4,0
1477,44,2,0
1478,95,19,1
1479,198,16,0
1481,70,21,1
1482,102,4,0
1483,72,16,1
1484,100,12,0
1485,86,290,1
1486,45,0,0
1487,107,161,1
1488,174,1234,1
1489,113,3,0
1490,190,1,0
1491,36,16,0
1492,42,227,1
1493,38,110,1
1494,29,7,1
1495,58,10,2
1496,30,5,1
1498,36,68,2
1499,151,36,0
1501,107,0,1
1502,160,11,1
1503,80,114,1
1504,96,426,2
1505,125,1,1
1506,197,517,1
1507,187,9,1
1508,30,17,1
1509,29,56,1
1510,22,2,0
1511,47,40,1
1512,106,3,1
1513,81,16,1
1514,70,148,1
1515,88,356,1
1516,197,4719,1
1517,47,1,0
1518,33,10,0
1519,41,3,0
1520,25,0,0
1522,75,0,0
1523,23,903,0
1524,23,0,1
1525,93,34,0
1526,45,0,0
1527,192,97,1
1528,165,18,0
1530,156,718,0
1531,171,0,0
1532,34,191,0
1533,90,11,1
1534,169,47,0
1535,59,122,1
1537,132,342,1
1538,73,7,0
1539,130,293,1
1540,47,2,0
1541,46,12,1
1542,196,1,0
1545,110,7,0
1546,29,160,1
1547,117,2,0
1548,198,219,1
1549,180,16,0
1550,147,0,0
1551,107,46,1
1552,53,86,1
1553,136,289,2
1554,30,0,0
1557,41,1,0
1559,171,2458,1
1560,172,1,0
1561,123,326,1
1562,200,67,1
1563,27,1,0
1564,86,62,1
1566,189,38,1
1567,181,39,1
1569,162,816,1
1570,95,27,1
1573,36,0,0
1574,168,554,1
1575,147,2,0
1576,172,616,1
1577,43,14,0
1579,127,509,2
1580,60,4,1
1581,63,104,0
1583,39,0,0
1584,184,0,0
1585,25,49,1
1586,101,17,0
1587,46,192,1
1588,57,17,0
1589,95,178,1
1590,76,116,0
1591,53,2,1
1592,66,8,1
1593,54,79,1
1594,79,9,0
1595,199,48,1
1596,114,76,0
1597,24,2,0
1598,114,1,0
1599,54,4439,1
1600,183,4,1
1603,51,17,1
1604,200,177,1
1605,132,4,2
1606,173,71,0
1607,41,84,1
1608,106,87,1
1609,57,89,1
1610,42,512,1
1611,142,161,0
1612,116,2,0
1613,52,13,0
1614,45,2788,1
1615,79,672,1
1616,41,48,0
1617,57,847,1
1619,117,422,1
1620,30,6,0
1621,57,320,1
1622,199,320,1
1623,100,3,0
1624,36,94,1
1625,161,67,1
1626,43,4,1
1627,50,45,0
1628,172,130,1
1629,79,241,1
1630,50,0,0
1631,50,0,0
1632,50,2,0
1633,147,107,1
1636,65,1,0
1637,34,4,0
1639,62,22,1
1640,59,0,0
1641,69,33,1
1642,200,94,1
1643,40,1,0
1644,109,1,0
1645,154,256,1
1646,36,22,3
1647,114,1240,1
1648,148,4198,1
1649,109,2647,1
1650,64,0,1
1651,103,12,1
1652,36,0,0
1653,50,2,0
1654,60,0,1
1655,42,6271,0
1656,60,177,1
1658,130,0,1
1659,26,10,1
1660,27,2,0
1661,136,110,0
1662,30,38,1
1663,108,307,1
1664,45,97,1
1665,54,292,1
1666,32,1,1
1667,115,1431,1
1668,191,132,1
1670,53,30,1
1671,54,8,0
1672,126,315,1
1673,61,24,1
1675,116,6,0
1676,136,189,1
1677,172,126,0
1678,23,32,1
1679,18,2,0
1680,72,5,1
1681,150,47,2
1682,28,0,0
1683,26,318,1
1684,104,38,1
1685,68,33,0
1686,162,110,2
1688,40,573,1
1689,55,111,3
1690,35,38,0
1691,58,29,1
1692,47,578,2
1693,135,36,1
1694,81,80,1
1695,154,10,0
1696,65,101,1
1697,196,28,1
1698,44,145,2
1699,83,31,1
1700,102,72,1
1701,41,528,1
1702,123,178,1
1703,85,10,1
1704,137,12,0
1705,38,157,1
1706,114,65,1
1707,109,2121,1
1708,199,22,1
1709,131,199,1
1710,119,0,1
1711,51,179,1
1712,28,8,1
1713,169,2,1
1714,107,2,1
1716,56,128,1
1717,175,129,1
1718,123,2,1
1719,122,43,1
1720,45,314,1
1721,198,18,1
1722,128,18,1
1723,50,160,2
1724,155,780,1
1725,200,1,2
1726,83,0,1
1727,73,4,2
1728,99,48,1
1729,101,623,1
1730,80,9,2
1731,80,106,1
1732,104,5,1
1733,104,4,1
1734,38,3,1
1735,18,6,1
1736,97,907,1
1737,187,0,1
1738,33,33,1
1739,115,5,1
1740,175,110,1
1741,195,11,1
1742,195,13,2
1743,21,52,1
1744,59,61,2
1745,64,2972,1
1746,196,46,1
1747,68,115,1
1748,71,1,0
1749,82,478,1
1750,67,13,1
1751,92,18,1
1752,98,75,2
1753,34,254,1
1754,162,1,1
1755,7,8,1
1756,135,76,1
1757,124,0,0
1758,43,3,1
1761,83,135,1
1763,69,20,0
1764,31,1106,1
1765,130,0,1
1766,118,144,1
1767,132,3,1
1768,40,7,0
1769,44,0,0
1770,58,72,1
1771,26,20,1
1772,60,15,1
1773,58,11,1
1774,13,4,1
1775,120,333,1
1776,125,461,1
1777,189,23,1
1778,188,14,0
1779,33,554,1
1780,62,6,1
1781,174,502,1
1782,41,7,0
1783,63,353,1
1784,47,12,1
1785,40,5,1
1786,52,1,0
1787,38,13,1
1788,27,4,0
1789,196,5,0
1790,108,196,3
1791,71,300,1
1792,80,222,1
1793,161,9,0
1794,64,70,1
1795,163,0,0
1796,166,173,1
1797,117,119,1
1798,59,875,1
1799,178,111,3
1800,185,99,0
1801,186,108,1
1802,175,17,0
1803,93,17,1
1804,177,17,0
1805,205,368,1
1806,196,8,0
1807,124,8,0
